status_id,created_at,screen_name,text,source,favorite_count,retweet_count
x1175181383494488067,9/20/19 22:54,JoeBiden,"If these reports are true, then there is truly no bottom to President Trump’s willingness to abuse his power and abase our country. https://t.co/PblNGDarXU",TweetDeck,24875,5567
x1175174219304448005,9/20/19 22:25,JoeBiden,"Today, we remember and honor our nation's prisoners of war and those still missing in action. We have an obligation to fulfill our national promise to our military service members and their families to bring all our heroes home. You are not forgotten. #POWMIARecognitionDay https://t.co/qMVRUZJgtX",Twitter Web App,1584,382
x1175168003622625280,9/20/19 22:01,JoeBiden,"Last Friday, on the 25th anniversary of VAWA, @DrBiden delivered a powerful message and reminded us that there’s so much more to do. Thank you to @UNHSHARPP for the important work you do every day to support women at UNH. https://t.co/bCfSLFyi1M",TweetDeck,516,109
x1175145103305764864,9/20/19 20:30,JoeBiden,"Saddened to hear of the passing of Maurice Ferré — the father of modern-day Miami. A trailblazer and a true public servant, he paved the way for others as the first Hispanic mayor of Miami. He will be deeply missed. Jill and I are keeping his loved ones in our hearts.",TweetDeck,1146,224
x1175103830675066880,9/20/19 17:46,JoeBiden,"Hace dos años, el huracán María tocó tierra en Puerto Rico, devastando la isla y robando la vida de miles. En ese momento en que nuestros compatriotas necesitaron más ayuda, el presidente Trump les falló. https://t.co/wue61t3SdP",Twitter Media Studio,930,339
x1175103075650080769,9/20/19 17:43,JoeBiden,"Two years ago, Hurricane Maria made landfall in Puerto Rico — devastating the island and killing thousands.

At a time when our fellow Americans needed help the most, President Trump failed them. https://t.co/GXDDKmN3QV",Twitter Media Studio,4265,1443
x1175085711340507136,9/20/19 16:34,JoeBiden,Inspired by the courage and determination of young people across the world as they take to the streets for today’s #ClimateStrike. Climate change is an existential threat that we cannot wait to address. It's up to all of us to take action—future generations are counting on us.,TweetDeck,2827,538
x1175081308793593862,9/20/19 16:16,JoeBiden,"From Universal Pre-K to fighting for raising the minimum wage, @BilldeBlasio has a record of taking on the important issues we face as a nation. Thank you for running a campaign focused on lifting up working families. https://t.co/to6SRwbOXQ",Twitter Web App,812,149
x1174884636285132800,9/20/19 3:15,JoeBiden,.@DrBiden and I are thinking of everyone in Texas affected by Tropical Depression Imelda. Please follow the instructions of local authorities and take all necessary precautions to stay safe during this flooding. https://t.co/f1NIrLKhPU,TweetDeck,1384,294
x1174844371230806016,9/20/19 0:35,JoeBiden,Our students deserve better than four more years of Donald Trump and Betsy DeVos.,TweetDeck,35102,4010
x1174839245053321217,9/20/19 0:14,JoeBiden,"We started @ItsOnUs with the goal of ending the epidemic of sexual violence on our college campuses. I’m proud of the progress we’ve made, but we have further to go. As we celebrate #5YearsOfItsOnUs, we must recommit to rooting out the toxic culture once and for all. https://t.co/ya72SOIYVp",Twitter Web App,543,152
x1174812914202509312,9/19/19 22:30,JoeBiden,"Wealthy special interests and corporations have dominated our politics for far too long.

It’s time we overturn Citizens United and create a public financing system for our elections.",TweetDeck,1860,459
x1174802343931478016,9/19/19 21:48,JoeBiden,"Siempre estuve orgulloso de servir junto al presidente Obama, pero nunca más que cuando aprobamos la Ley del Cuidado de Salud a Bajo Costo. Como presidente, protegeré y ampliaré Obamacare para garantizar que cada estadounidense reciba la atención médica que merece. https://t.co/a47rIpNP8P",Twitter Media Studio,654,155
x1174762582168743936,9/19/19 19:10,JoeBiden,"I was proud to serve alongside President Obama every day, but never more so than when we passed the Affordable Care Act.

As president, I’ll protect and build on Obamacare to ensure every American receives the health care they deserve: https://t.co/34NCSYhO2C https://t.co/HBa1Ewy6tb",Twitter Media Studio,3538,658
